Country,Somme des produits
Italy,9724.55
India,9512.19
Spain,9498.79
Mexico,9390.35
Ireland,9273.05
Austria,9249.34
France,9137.58
Russia,9082.05
Germany,9051.47
Sweden,9008.66
Norway,8962.36
Denmark,8953.71
Czech Republic,8927.81
Finland,8798.95
Portugal,8798.95
Hungary,8679.36
Netherlands,8610.66
Poland,8558.95
Luxembourg,8322.53
Australia,8028.75
Philippines,7816.77
Canada,7344.05
United States,7143.0
Thailand,7096.8
